"scientific_name" "category" "criteria"
"Telmatobius hintoni" "VU" "B1ab(iii)"
"Cornufer admiraltiensis" "LC" NA
"Ommatotriton ophryticus" "NT" NA
"Rana holtzi" "CR" "B2ab(iii,iv)"
"Pseudocallulops pullifer" "DD" NA
"Psychrophrynella boettgeri" "EN" "B2ab(iii)"
"Gegeneophis mhadeiensis" "DD" NA
"Pristimantis padrecarlosi" "DD" NA
"Rhacophorus suffry" "LC" NA
"Taricha sierra" "LC" NA
"Theloderma licin" "LC" NA
"Ichthyophis kodaguensis" "DD" NA
"Litoria fuscula" "DD" NA
"Cycloramphus faustoi" "CR" "B2ab(ii,iii)"
"Hypsiboas curupi" "LC" NA
"Allobates caribe" "DD" NA
"Allobates niputidea" "LC" NA
"Rhinella tacana" "DD" NA
"Nyctimystes kuduki" "DD" NA
"Psychrophrynella illampu" "VU" "B1ab(iii)+2ab(iii)"
"Pristimantis rhigophilus" "DD" NA
"Psychrophrynella harveyi" "DD" NA
"Pristimantis flabellidiscus" "DD" NA
"Psychrophrynella iani" "DD" NA
"Psychrophrynella illimani" "CR" "B1ab(iii)"
"Psychrophrynella quimsacruzis" "VU" "B1ab(iii)+2ab(iii)"
"Ischnocnema henselii" "LC" NA
"Rhaebo lynchi" "DD" NA
"Mixophyes coggeri" "LC" NA
"Kaloula aureata" "DD" NA
"Atelopus petersi" "CR" "A2ace"
"Ischnocnema penaxavantinho" "DD" NA
"Hylodes fredi" "DD" NA
"Phyllomedusa araguari" "DD" NA
"Rhinella achavali" "LC" NA
"Philautus neelanethrus" "EN" "B1ab(iii)"
"Rhacophorus rhodopus" "LC" NA
"Rana draytonii" "VU" "B2ab(ii,iii,iv,v)"
"Rana sierrae" "EN" "B2ab(ii,iv,v)"
"Nyctibatrachus minimus" "DD" NA
"Hydrolaetare caparu" "DD" NA
"Litoria rara" "DD" NA
"Fejervarya nicobariensis" "EN" "B1ab(iii)"
"Anomaloglossus breweri" "VU" "D2"
"Cophixalus variabilis" "LC" NA
"Xenorhina varia" "DD" NA
"Psychrophrynella ankohuma" "VU" "B1ab(iii)+2ab(iii)"
"Mannophryne trujillensis" "EN" "A2ace; B1ab(i,ii,iii,iv,v)+2ab(ii,iii,iv,v)"
"Rhinella martyi" "LC" NA
"Rhinella cerradensis" "DD" NA
"Rhacophorus yinggelingensis" "VU" "D2"
"Mannophryne leonardoi" "EN" "A2ae"
"Hyla heinzsteinitzi" "CR" "B2ab(ii,iii,v); C2a(i)"
"Arthroleptis lonnbergi" "DD" NA
"Chiasmocleis sapiranga" "DD" NA
"Ceuthomantis aracamuni" "VU" "D2"
"Ambystoma bishopi" "VU" "A2c"
"Leptolalax fuliginosus" "DD" NA
"Telmatobius espadai" "CR" "A2a"
"Calotriton arnoldi" "CR" "B2ab(iii,iv)"
"Rhinella magnussoni" "LC" NA
"Litoria hunti" "DD" NA
"Leptodactylus turimiquensis" "NT" NA
"Hyalinobatrachium tatayoi" "LC" NA
"Pseudacris kalmi" "LC" NA
"Raorchestes ochlandrae" "DD" NA
"Salamandrina perspicillata" "LC" NA
"Amolops mengyangensis" "LC" NA
"Rhacophorus jarujini" "DD" NA
"Scinax faivovichi" "CR" "B2ab(ii)"
"Rhinella hoogmoedi" "LC" NA
"Sphaenorhynchus caramaschii" "LC" NA
"Psychrophrynella kallawaya" "CR" "B1ab(iii)"
"Phyllodytes maculosus" "DD" NA
"Isthmohyla melacaena" "NT" NA
"Psychrophrynella saltator" "CR" "B1ab(iii)"
"Xenorhina lanthanites" "DD" NA
"Lysapsus boliviana" "DD" NA
"Engystomops freibergi" "LC" NA
"Cornufer wuenscheorum" "DD" NA
"Uperoleia daviesae" "DD" NA
"Cornufer latro" "LC" NA
"Choerophryne burtoni" "DD" NA
"Pseudophilautus pardus" "EX" NA
"Litoria richardsi" "DD" NA
"Psychrophrynella chacaltaya" "VU" "B1ab(iii)+2ab(iii)"
"Hypsiboas liliae" "LC" NA
"Oreophrynella dendronastes" "DD" NA
"Pristimantis jester" "LC" NA
"Mannophryne venezuelensis" "NT" NA
"Gastrotheca ernestoi" "DD" NA
"Litoria hilli" "DD" NA
