"","auto_id","Scientific.name.species","taxon_name_species","taxon_name_infraspecies","TBN學名_infraspecies","name_c.x","name_e","category","criteria","adjusting","taxon_group","name_code","taxon_rank","tp_tid","ra_tid","taibnet_namecode","uuid","rank","class","class_c","order","order_c","family","family_c","genus","genus_c","name_c.y","is_endemic","is_alien","is_protected"
"40",40,"Turnix sylvaticus","Turnix sylvaticus","Turnix sylvaticus","Turnix sylvaticus","林三趾鶉",NA,"NCR","B2b(ii, v); C2a(i); D"," ","bird","404669","species",1025729,1025729,NA,"962ba8ec-b2fd-4790-a327-1cbfae41ffba","species","Aves","鳥綱","Charadriiformes","?形目","Turnicidae","三趾鶉科","Turnix","三趾鶉屬","林三趾鶉"," "," "," "
"41",41,"Saundersilarus saundersi","Saundersilarus saundersi","Saundersilarus saundersi","Saundersilarus saundersi","黑嘴鷗",NA,"NCR","C1"," ","bird","419698","species",419698,419698,419698,"e65826ad-5a8d-468b-aa5e-16df3c5038b8","species","Aves","鳥綱","Charadriiformes","?形目","Laridae","鷗科","Saundersilarus","黑嘴鷗屬","黑嘴鷗"," "," ","Y"
"42",42,"Calidris pygmea","Calidris pygmaea","Calidris pygmaea","Calidris pygmea","琵嘴鷸",NA,"NCR","C1; D"," ","bird","428564","species",428564,428564,428564,"18a01f7a-54bc-4a9e-bcb4-1ced9de8eb9d","species","Aves","鳥綱","Charadriiformes","?形目","Scolopacidae","鷸科","Calidris","濱鷸屬","琵嘴鷸"," "," ","Y"
"43",43,"Thalasseus bernsteini","Thalasseus bernsteini","Thalasseus bernsteini","Thalasseus bernsteini","黑嘴端鳳頭燕鷗",NA,"NCR","D"," ","bird","419712","species",419712,419712,419712,"1ede32c8-c430-4a8c-9763-44b1764d7055","species","Aves","鳥綱","Charadriiformes","?形目","Laridae","鷗科","Thalasseus","鳳頭燕鷗屬","黑嘴端鳳頭燕鷗"," "," ","Y"
"44",44,"Synoicus chinensis","Synoicus chinensis","Synoicus chinensis","Synoicus chinensis","小鵪鶉",NA,"NEN","B2ab(ii, iii, v); C1"," ","bird","431229","species",431229,431229,431229,"edb3f65e-d359-49d5-8a9c-67953e89172b","species","Aves","鳥綱","Galliformes","雞形目","Phasianidae","雉科","Synoicus","鵪鶉屬","小鵪鶉"," "," ","Y"
"45",45,"Ciconia boyciana","Ciconia boyciana","Ciconia boyciana","Ciconia boyciana","東方白鸛",NA,"NEN","D","[-1]","bird","404565","species",404565,404565,404565,"8090520b-78f4-4b73-a3cc-177ce26e0b62","species","Aves","鳥綱","Ciconiiformes","鸛形目","Ciconiidae","鸛科","Ciconia","鸛屬","東方白鸛"," "," ","Y"
"46",46,"Nisaetus nipalensis","Nisaetus nipalensis","Nisaetus nipalensis","Nisaetus nipalensis","熊鷹",NA,"NEN","C2a(ii)"," ","bird","425229","species",1024929,1024929,NA,"9401a1ca-328b-4645-8c6b-3578cfd7c1b8","species","Aves","鳥綱","Accipitriformes","鷹形目","Accipitridae","鷹科","Nisaetus","角鷹屬","熊鷹"," "," "," "
"47",47,"Numenius madagascariensis","Numenius madagascariensis","Numenius madagascariensis","Numenius madagascariensis","黦鷸",NA,"NEN","D","[-1]","bird","380236","species",380236,380236,380236,"e19c61df-0873-4e22-a25a-bbdfeacd1147","species","Aves","鳥綱","Charadriiformes","?形目","Scolopacidae","鷸科","Numenius","杓鷸屬","黦鷸"," "," "," "
"48",48,"Calidris tenuirostris","Calidris tenuirostris","Calidris tenuirostris","Calidris tenuirostris","大濱鷸",NA,"NEN","A2a","[-1]","bird","380222","species",380222,380222,380222,"24b2424d-112c-4e12-8ee4-62d827a64693","species","Aves","鳥綱","Charadriiformes","?形目","Scolopacidae","鷸科","Calidris","濱鷸屬","大濱鷸"," "," "," "
"49",49,"Tringa guttifer","Tringa guttifer","Tringa guttifer","Tringa guttifer","諾氏鷸",NA,"NEN","C1; D","[-1]","bird","380248","species",380248,380248,380248,"16f7a184-04b2-4511-923a-1a871fabf458","species","Aves","鳥綱","Charadriiformes","?形目","Scolopacidae","鷸科","Tringa","鷸屬","諾氏鷸"," "," ","Y"
"50",50,"Tyto longimembris","Tyto longimembris","Tyto longimembris pithecops","Tyto longimembris pithecops","草鴞",NA,"NEN","C1"," ","bird","419716","infraspecies",1025744,1025744,NA,"a4ecadb1-8691-4853-9bcd-e136cabb6250","species","Aves","鳥綱","Strigiformes","鴞形目","Tytonidae","草鴞科","Tyto","草鴞屬","草鴞"," "," "," "
"51",51,"Ketupa flavipes","Ketupa flavipes","Ketupa flavipes","Ketupa flavipes","黃魚鴞",NA,"NEN","C1"," ","bird","380500","species",380500,380500,380500,"5f971330-67d7-4261-b0bc-08e2b3dc158f","species","Aves","鳥綱","Strigiformes","鴞形目","Strigidae","鴟鴞科","Ketupa","魚鴞屬","黃魚鴞"," "," ","Y"
"52",52,"Pitta nympha","Pitta nympha","Pitta nympha","Pitta nympha","八色鳥",NA,"NEN","A2b"," ","bird","380436","species",380436,380436,380436,"26c84d6e-66bc-4928-842d-86774c26b317","species","Aves","鳥綱","Passeriformes","雀形目","Pittidae","八色鶇科","Pitta","八色鳥屬","八色鳥"," "," ","Y"
"53",53,"Garrulax taewanus","Garrulax taewanus","Garrulax taewanus","Garrulax taewanus","台灣畫眉",NA,"NEN","A3e+4e"," ","bird","404589","species",404589,404589,404589,"f75d0c53-2b2c-4a20-aa79-d03c5f8a9fd3","species","Aves","鳥綱","Passeriformes","雀形目","Leiothrichidae","噪眉科","Garrulax","噪?屬","臺灣畫眉","Y"," ","Y"
"54",54,"Acridotheres cristatellus","Acridotheres cristatellus","Acridotheres cristatellus formosanus","Acridotheres cristatellus formosanus","台灣八哥",NA,"NEN","A2be"," ","bird","380445","infraspecies",1023443,1023443,NA,"56db805c-faf5-417c-8d04-ae8f442ca622","species","Aves","鳥綱","Passeriformes","雀形目","Sturnidae","椋鳥科","Acridotheres","八哥屬","八哥"," "," "," "
"55",55,"Emberiza aureola","Emberiza aureola","Emberiza aureola","Emberiza aureola","金?",NA,"NEN","A2b; C1"," ","bird","380342","species",1024219,1024219,NA,"1a8b7d76-debb-4ed3-abf1-5c5125b6025f","species","Aves","鳥綱","Passeriformes","雀形目","Emberizidae","?科","Emberiza","?屬","金?"," "," "," "
"56",56,"Passer rutilans","Passer rutilans","Passer rutilans","Passer rutilans","山麻雀",NA,"NEN","B2b(iii)+c(ii); C2a(i)"," ","bird","380434","species",1025140,1025140,NA,"50cdf9b2-217c-44e3-94a0-755d0810ffc3","species","Aves","鳥綱","Passeriformes","雀形目","Passeridae","麻雀科","Passer","麻雀屬","山麻雀"," "," "," "
"57",57,"Aix galericulata","Aix galericulata","Aix galericulata","Aix galericulata","鴛鴦",NA,"NVU","D"," ","bird","380056","species",380056,380056,380056,"76ccc3a9-51b0-4cda-9685-f997e722569c","species","Aves","鳥綱","Anseriformes","雁形目","Anatidae","雁鴨科","Aix","鴛鴦屬","鴛鴦"," "," ","Y"
"58",58,"Anas falcata","Mareca falcata","Mareca falcata","Anas falcata","羅文鴨",NA,"NVU","D","[-1]","bird","380061","species",380061,380061,380061,"c9e4084a-8d54-437b-bd05-8d27532139c6","species","Aves","鳥綱","Anseriformes","雁形目","Anatidae","雁鴨科","Anas","鴨屬","羅文鴨"," "," "," "
