"","result.scientific_name","result.category","result.criteria"
"323","Eleutherodactylus juanariveroi","CR","A4ac; B1ab(i,ii,iii)+2ab(i,ii,iii)"
"324","Cochranella phryxa","DD"," "
"325","Brachycephalus pombali","DD"," "
"326","Odorrana aureola","DD"," "
"327","Tepuihyla phasmatus","DD"," "
"328","Espadarana durrellorum","VU","B1ab(ii)"
"329","Nannophrys naeyakai","EN","B1ab(iii)"
"330","Phyllomedusa neildi","DD"," "
"331","Physalaemus angrensis","DD"," "
"332","Hyperolius watsonae","CR","B1ab(iii)+2ab(iii)"
"333","Leptopelis mackayi","DD"," "
"334","Gastrotheca pulchra","DD"," "
"335","Microhyla fissipes","LC"," "
"336","Plectrohyla miahuatlanensis","DD"," "
"337","Microhyla okinavensis","LC"," "
"338","Bufotes zamdaensis","DD"," "
"339","Frostius erythrophthalmus","DD"," "
"340","Rana coreana","LC"," "
"341","Peltophryne florentinoi","CR","B1ab(iii)"
"342","Litoria chrisdahli","DD"," "
"343","Nymphargus wileyi","DD"," "
"344","Eupsophus queulensis","VU","D2"
"345","Pseudohynobius kuankuoshuiensis","DD"," "
"346","Allobates spumaponens","DD"," "
"347","Dendropsophus juliani","LC"," "
"348","Hyloxalus parcus","DD"," "
"349","Megophrys zunhebotoensis","DD"," "
"350","Hyloxalus maculosus","DD"," "
"351","Hypsiboas jimenezi","LC"," "
"352","Scinax peixotoi","CR","B2ab(ii,iii)"
"353","Telmatobius sanborni","VU","A2a; B1ab(v)"
"354","Atelopus pyrodactylus","CR","A2ac"
"355","Cophixalus sisyphus","DD"," "
"356","Allobates subfolionidificans","VU","D2"
"357","Litoria purpureolata","DD"," "
"358","Litoria spartacus","DD"," "
"359","Litoria humboldtorum","LC"," "
"360","Leptobrachium promustache","DD"," "
"361","Nymphargus vicenteruedai","DD"," "
"362","Phyllomedusa itacolomi","DD"," "
"363","Ansonia endauensis","DD"," "
"364","Bokermannohyla vulcaniae","VU","B2ab(iii)"
"365","Hynobius maoershanensis","DD"," "
"366","Scinax cabralensis","DD"," "
"367","Rhacophorus minimus","EN","B1ab(iii)"
"368","Psychrophrynella condoriri","DD"," "
"369","Brachycephalus ferruginus","DD"," "
"370","Scinax camposseabrai","DD"," "
"371","Mixophyes balbus","VU","C1+2a(i)"
"372","Mixophyes fasciolatus","LC"," "
"373","Polypedates occidentalis","DD"," "
"374","Craugastor cyanochthebius","NT"," "
"375","Cornufer sulcatus","DD"," "
"376","Mixophyes fleayi","EN","B2ab(ii,iii,iv,v)"
"377","Mixophyes iteratus","EN","B2ab(ii,iii,iv,v)"
"378","Eleutherodactylus rogersi","DD"," "
"379","Uraeotyphlus oommeni","DD"," "
"380","Theloderma nagalandense","DD"," "
"381","Cophixalus misimae","DD"," "
"382","Nymphargus laurae","CR","B2ab(iii)"
"383","Physalaemus camacan","DD"," "
"384","Leptodactylus lauramiriamae","DD"," "
"385","Psychrophrynella guillei","CR","B1ab(iii)"
"386","Pseudophilautus maia","EX"," "
"387","Adenomera nana","LC"," "
"388","Megophrys binchuanensis","NT"," "
"389","Litoria myola","CR","B1ab(iii)"
"390","Chiasmocleis mantiqueira","DD"," "
"391","Odorrana gigatympana","DD"," "
"392","Xenorhina macrodisca","DD"," "
"393","Incilius chompipe","VU","D2"
"394","Pristimantis thyellus","DD"," "
"395","Leptodactylus savagei","LC"," "
"396","Oedipina tomasi","CR","B2ab(iii)"
"397","Hylophorbus rainerguentheri","DD"," "
"398","Leptodactylus vastus","LC"," "
"399","Cornufer nakanaiorum","DD"," "
"400","Physalaemus irroratus","DD"," "
"401","Litoria megalops","DD"," "
"402","Litoria sauroni","DD"," "
"403","Megophrys serchhipii","DD"," "
"404","Telmatobius hintoni","VU","B1ab(iii)"
"405","Cornufer admiraltiensis","LC"," "
"406","Ommatotriton ophryticus","NT"," "
"407","Rana holtzi","CR","B2ab(iii,iv)"
"408","Pseudocallulops pullifer","DD"," "
"409","Psychrophrynella boettgeri","EN","B2ab(iii)"
"410","Gegeneophis mhadeiensis","DD"," "
"411","Pristimantis padrecarlosi","DD"," "
"412","Rhacophorus suffry","LC"," "
"413","Taricha sierra","LC"," "
"414","Theloderma licin","LC"," "
"415","Ichthyophis kodaguensis","DD"," "
"416","Litoria fuscula","DD"," "
"417","Cycloramphus faustoi","CR","B2ab(ii,iii)"
"418","Hypsiboas curupi","LC"," "
"419","Allobates caribe","DD"," "
"420","Allobates niputidea","LC"," "
"421","Rhinella tacana","DD"," "
"422","Nyctimystes kuduki","DD"," "
"423","Psychrophrynella illampu","VU","B1ab(iii)+2ab(iii)"
"424","Pristimantis rhigophilus","DD"," "
"425","Psychrophrynella harveyi","DD"," "
"426","Pristimantis flabellidiscus","DD"," "
"427","Psychrophrynella iani","DD"," "
"428","Psychrophrynella illimani","CR","B1ab(iii)"
"429","Psychrophrynella quimsacruzis","VU","B1ab(iii)+2ab(iii)"
"430","Ischnocnema henselii","LC"," "
"431","Rhaebo lynchi","DD"," "
"432","Mixophyes coggeri","LC"," "
"433","Kaloula aureata","DD"," "
"434","Atelopus petersi","CR","A2ace"
"435","Ischnocnema penaxavantinho","DD"," "
"436","Hylodes fredi","DD"," "
"437","Phyllomedusa araguari","DD"," "
"438","Rhinella achavali","LC"," "
"439","Philautus neelanethrus","EN","B1ab(iii)"
"440","Rhacophorus rhodopus","LC"," "
"441","Rana draytonii","VU","B2ab(ii,iii,iv,v)"
"442","Rana sierrae","EN","B2ab(ii,iv,v)"
"443","Nyctibatrachus minimus","DD"," "
"444","Hydrolaetare caparu","DD"," "
"445","Litoria rara","DD"," "
"446","Fejervarya nicobariensis","EN","B1ab(iii)"
"447","Anomaloglossus breweri","VU","D2"
"448","Cophixalus variabilis","LC"," "
"449","Xenorhina varia","DD"," "
"450","Psychrophrynella ankohuma","VU","B1ab(iii)+2ab(iii)"
"451","Mannophryne trujillensis","EN","A2ace; B1ab(i,ii,iii,iv,v)+2ab(ii,iii,iv,v)"
"452","Rhinella martyi","LC"," "
"453","Rhinella cerradensis","DD"," "
"454","Rhacophorus yinggelingensis","VU","D2"
"455","Mannophryne leonardoi","EN","A2ae"
"456","Hyla heinzsteinitzi","CR","B2ab(ii,iii,v); C2a(i)"
"457","Arthroleptis lonnbergi","DD"," "
"458","Chiasmocleis sapiranga","DD"," "
"459","Ceuthomantis aracamuni","VU","D2"
"460","Ambystoma bishopi","VU","A2c"
"461","Leptolalax fuliginosus","DD"," "
"462","Telmatobius espadai","CR","A2a"
"463","Calotriton arnoldi","CR","B2ab(iii,iv)"
"464","Rhinella magnussoni","LC"," "
"465","Litoria hunti","DD"," "
"466","Leptodactylus turimiquensis","NT"," "
"467","Hyalinobatrachium tatayoi","LC"," "
"468","Pseudacris kalmi","LC"," "
"469","Raorchestes ochlandrae","DD"," "
"470","Salamandrina perspicillata","LC"," "
"471","Amolops mengyangensis","LC"," "
"472","Rhacophorus jarujini","DD"," "
"473","Scinax faivovichi","CR","B2ab(ii)"
"474","Rhinella hoogmoedi","LC"," "
"475","Sphaenorhynchus caramaschii","LC"," "
"476","Psychrophrynella kallawaya","CR","B1ab(iii)"
"477","Phyllodytes maculosus","DD"," "
"478","Isthmohyla melacaena","NT"," "
"479","Psychrophrynella saltator","CR","B1ab(iii)"
"480","Xenorhina lanthanites","DD"," "
"481","Lysapsus boliviana","DD"," "
"482","Engystomops freibergi","LC"," "
"483","Cornufer wuenscheorum","DD"," "
"484","Uperoleia daviesae","DD"," "
"485","Cornufer latro","LC"," "
"486","Choerophryne burtoni","DD"," "
"487","Pseudophilautus pardus","EX"," "
"488","Litoria richardsi","DD"," "
"489","Psychrophrynella chacaltaya","VU","B1ab(iii)+2ab(iii)"
"490","Hypsiboas liliae","LC"," "
"491","Oreophrynella dendronastes","DD"," "
"492","Pristimantis jester","LC"," "
"493","Mannophryne venezuelensis","NT"," "
"494","Gastrotheca ernestoi","DD"," "
"495","Litoria hilli","DD"," "
"496","Crossodactylus cyclospinus","DD"," "
"497","Hynobius yangi","EN","B1ab(iii)"
"498","Adenomera thomei","LC"," "
"499","Cornufer bufonulus","DD"," "
"500","Litoria nudidigita","LC"," "
"501","Raorchestes sahai","DD"," "
"502","Pristimantis carlossanchezi","DD"," "
"503","Litoria scabra","DD"," "
"504","Pseudohynobius shuichengensis","VU","B1ab(iii)"
"505","Neurergus strauchii","VU","B1ab(iii)"
"506","Notophthalmus perstriatus","NT"," "
"507","Litoria dayi","EN","A2ac"
"508","Bufotes balearicus","LC"," "
"509","Bufotes siculus","LC"," "
"510","Bufotes turanensis","LC"," "
"511","Haddadus aramunha","DD"," "
"512","Adenomera ajurauna","DD"," "
"513","Leptodactylus cupreus","DD"," "
"514","Centrolene condor","DD"," "
"515","Rulyrana mcdiarmidi","DD"," "
"516","Dendrophryniscus krausae","DD"," "
"517","Phasmahyla spectabilis","DD"," "
"518","Phasmahyla timbo","DD"," "
"519","Physalaemus insperatus","DD"," "
"520","Pristimantis achuar","LC"," "
"521","Pristimantis altamnis","LC"," "
"522","Pristimantis kichwarum","LC"," "
"523","Trachycephalus dibernardoi","LC"," "
"524","Melanophryniscus alipioi","DD"," "
"525","Hylodes cardosoi","LC"," "
"526","Melanophryniscus langonei","CR","B2ab(iii)"
"527","Ecnomiohyla rabborum","CR","A2ace; B1ab(iii)"
"528","Dendropsophus reichlei","DD"," "
"529","Chiasmocleis avilapiresae","LC"," "
"530","Holoaden pholeter","DD"," "
"531","Litoria christianbergmanni","LC"," "
"532","Litoria mareku","DD"," "
"533","Ansonia latiffi","DD"," "
"534","Ansonia jeetsukumarani","DD"," "
"535","Amolops assamensis","DD"," "
"536","Ghatixalus asterops","DD"," "
"537","Paratelmatobius gaigeae","DD"," "
"538","Paratelmatobius lutzii","DD"," "
"539","Hynobius yatsui","LC"," "
"540","Pedostibes kempi","DD"," "
"541","Pedostibes tuberculosus","EN","B1ab(iii)"
"542","Bufotes zugmayeri","LC"," "
"543","Adenomera coca","DD"," "
"544","Pelobates fuscus","LC"," "
"545","Phaeognathus hubrichti","EN","B1ab(iii)+2ab(iii)"
"546","Philoria frosti","CR","A2ace; B1ab(ii,iii,iv,v)+2ab(ii,iii,iv,v); C2b"
"547","Phrynomedusa fimbriata","EX"," "
"548","Hypsiboas tepuianus","LC"," "
"549","Pristimantis fasciatus","EN","B1ab(iii)"
"550","Pristimantis turik","DD"," "
"551","Pristimantis yukpa","LC"," "
"552","Uraeotyphlus gansi","DD"," "
"553","Arthroleptis fichika","EN","B1ab(i,iii)"
"554","Arthroleptis kidogo","CR","B1ab(iii)"
"555","Arthroleptis langeri","DD"," "
"556","Phrynobatrachus intermedius","CR","B1ab(iii)"
"557","Phrynobatrachus chukuchuku","CR","B1ab(iii)"
"558","Plethodon larselli","NT"," "
"559","Plethodon neomexicanus","NT"," "
"560","Plethodon nettingi","NT"," "
"561","Plethodon stormi","EN","B1ab(iii)"
"562","Plethodon shenandoah","VU","D2"
"563","Plethodon caddoensis","NT"," "
"564","Plethodon fourchensis","VU","D2"
"565","Plethodon hubrichti","VU","D2"
"566","Plethodon ouachitae","NT"," "
"567","Morerella cyanophthalma","VU","B1ab(iii)"
"568","Proteus anguinus","VU","B2ab(ii,iii,v)"
"569","Sphaenorhynchus mirim","DD"," "
"570","Urspelerpes brucei","LC"," "
"571","Pseudophryne bibronii","NT"," "
"572","Pseudophryne corroboree","CR","A2ace+3ce; B2ab(ii,iii,iv,v); C1"
"573","Pseudophryne australis","VU","B1ab(ii,iii,iv)"
"574","Raorchestes chlorosomma","CR","B1ab(iii)"
"575","Raorchestes kaikatti","CR","B1ab(iii)+2ab(iii)"
"576","Raorchestes marki","CR","B1ab(iii)+2ab(iii)"
