"","result.scientific_name","result.category","result.criteria"
"39027","Haplochromis rufus","LC"," "
"39028","Haplochromis xanthopteryx","VU","D2"
"39029","Haplochromis bicolor","VU","D2"
"39030","Haplochromis luteus","VU","D2"
"39031","Haplochromis mbipi","LC"," "
"39032","Haplochromis fusiformis","VU","D2"
"39033","Haplochromis gigas","VU","D2"
"39034","Haplochromis greenwoodi","LC"," "
"39035","Haplochromis omnicaeruleus","LC"," "
"39036","Haplochromis rufocaudalis","LC"," "
"39037","Haplochromis simotes","DD"," "
"39038","Haplochromis victoriae","DD"," "
"39039","Haplochromis degeni","LC"," "
"39040","Haplochromis azureus","VU","D2"
"39041","Haplochromis igneopinnis","EN","B1ab(iii,v)+2ab(iii,v)"
"39042","Haplochromis macrocephalus","VU","D2"
"39043","Haplochromis nyererei","LC"," "
"39044","Haplochromis pundamilia","LC"," "
"39045","Haplochromis parorthostoma","DD"," "
"39046","Haplochromis orthostoma","VU","A1ace; B1+2ce"
"39047","Haplochromis paradoxus","DD"," "
"39048","Amblyrhynchotes honckenii","LC"," "
"39049","Balistes capriscus","VU","A2bd"
"39050","Balistes vetula","NT"," "
"39051","Diodon hystrix","LC"," "
"39052","Melichthys niger","LC"," "
"39053","Mola mola","VU","A4bd"
"39054","Parahollardia lineata","LC"," "
"39055","Ranzania laevis","LC"," "
"39056","Xanthichthys ringens","LC"," "
"39057","Amazonsprattus scintilla","LC"," "
"39058","Escualosa thoracata","LC"," "
"39059","Herklotsichthys ovalis","DD"," "
"39060","Herklotsichthys lippa","LC"," "
"39061","Herklotsichthys collettei","LC"," "
"39062","Nematalosa vlaminghi","LC"," "
"39063","Sardinella dayi","DD"," "
"39064","Spratelloides lewisi","LC"," "
"39065","Anchoa marinii","LC"," "
"39066","Anchoviella alleni","LC"," "
"39067","Anchoviella carrikeri","LC"," "
"39068","Trypauchenopsis intermedia","LC"," "
"39069","Vanderhorstia phaeostictus","DD"," "
"39070","Lotilia klausewitzi","LC"," "
"39071","Anchoviella jamesi","LC"," "
"39072","Anchoviella perezi","DD"," "
"39073","Barbus barbus","LC"," "
"39074","Barbus plebejus","LC"," "
"39075","Centropyge resplendens","LC"," "
"39076","Chondrostoma nasus","LC"," "
"39077","Coregonus albula","LC"," "
"39078","Cottus gobio","LC"," "
"39079","Romanogobio kesslerii","LC"," "
"39080","Gymnocephalus baloni","LC"," "
"39081","Knipowitschia panizzae","LC"," "
"39082","Leuciscus leuciscus","LC"," "
"39083","Engraulis anchoita","NT"," "
"39084","Jurengraulis juruensis","LC"," "
"39085","Pellona castelnaeana","LC"," "
"39086","Encrasicholina gloria","DD"," "
"39087","Encrasicholina intermedia","DD"," "
"39088","Alosa braschnikowi","DD"," "
"39089","Alosa curensis","DD"," "
"39090","Alosa pontica","LC"," "
"39091","Alosa saposchnikowii","DD"," "
"39092","Alosa sphaerocephala","LC"," "
"39093","Alosa suworowi","DD"," "
"39094","Amblygaster clupeoides","LC"," "
"39095","Amblygaster sirm","LC"," "
"39096","Brevoortia pectinata","LC"," "
"39097","Clupeoides venulosus","VU","B2ab(iii,iv)"
"39098","Clupeonella engrauliformis","EN","A2bde"
"39099","Clupeonella grimmi","EN","A2bde"
"39100","Clupeonella muhlisi","EN","B1ab(iii)+2ab(iii)"
"39101","Corica laciniata","DD"," "
"39102","Dorosoma chavesi","NT"," "
"39103","Ehirava fluviatilis","DD"," "
"39104","Escualosa elongata","DD"," "
"39105","Herklotsichthys blackburni","DD"," "
"39106","Herklotsichthys castelnaui","LC"," "
"39107","Herklotsichthys dispilonotus","LC"," "
"39108","Herklotsichthys gotoi","LC"," "
"39109","Herklotsichthys koningsbergeri","LC"," "
"39110","Herklotsichthys spilurus","LC"," "
"39111","Hyperlophus translucidus","LC"," "
"39112","Hyperlophus vittatus","LC"," "
"39113","Limnothrissa stappersii","DD"," "
"39114","Nematalosa arabica","DD"," "
"39115","Nematalosa erebi","LC"," "
"39116","Nematalosa flyensis","DD"," "
"39117","Nematalosa papuensis","DD"," "
"39118","Potamalosa richmondia","NT"," "
"39119","Ramnogaster arcuata","LC"," "
"39120","Rhinosardinia bahiensis","LC"," "
"39121","Sardinella atricauda","LC"," "
"39122","Sardinella brachysoma","LC"," "
"39123","Sardinella hualiensis","LC"," "
"39124","Sardinella marquesensis","LC"," "
"39125","Sardinella melanura","LC"," "
"39126","Sardinella neglecta","LC"," "
"39127","Sardinella richardsoni","DD"," "
"39128","Sardinella tawilis","EN","A2bd; B1ab(iii,v)+2ab(iii,v)"
"39129","Spratelloides delicatulus","LC"," "
"39130","Spratelloides robustus","LC"," "
"39131","Sprattus antipodum","LC"," "
"39132","Sprattus muelleri","LC"," "
"39133","Sprattus novaehollandiae","LC"," "
"39134","Strangomera bentincki","LC"," "
"39135","Tenualosa macrura","NT"," "
"39136","Anchoa compressa","LC"," "
"39137","Anchoa pectoralis","LC"," "
"39138","Anchoa tricolor","LC"," "
"39139","Anchovia landivarensis","DD"," "
"39140","Anchovia surinamensis","LC"," "
"39141","Anchoviella juruasanga","LC"," "
"39142","Anchoviella manamensis","LC"," "
"39143","Anchoviella miarcha","DD"," "
"39144","Coilia macrognathos","DD"," "
"39145","Coilia mystus","EN","A2bd"
"39146","Coilia nasus","EN","A2bd"
"39147","Coilia ramcarati","DD"," "
"39148","Coilia rebentischii","DD"," "
"39149","Coilia reynaldi","LC"," "
"39150","Encrasicholina macrocephala","DD"," "
"39151","Encrasicholina oligobranchus","DD"," "
"39152","Encrasicholina purpurea","LC"," "
"39153","Engraulis australis","LC"," "
"39154","Engraulis capensis","LC"," "
"39155","Engraulis japonicus","LC"," "
"39156","Lycengraulis figueiredoi","LC"," "
"39157","Papuengraulis micropinna","DD"," "
"39158","Pseudosetipinna haizhouensis","DD"," "
"39159","Pterengraulis atherinoides","LC"," "
"39160","Setipinna paxtoni","DD"," "
"39161","Setipinna taty","LC"," "
"39162","Setipinna tenuifilis","DD"," "
"39163","Setipinna wheeleri","DD"," "
"39164","Stolephorus advenus","DD"," "
"39165","Stolephorus andhraensis","LC"," "
"39166","Stolephorus apiensis","LC"," "
"39167","Stolephorus baganensis","LC"," "
"39168","Stolephorus brachycephalus","LC"," "
"39169","Stolephorus carpentariae","LC"," "
"39170","Stolephorus chinensis","LC"," "
"39171","Stolephorus dubiosus","LC"," "
"39172","Stolephorus holodon","LC"," "
"39173","Stolephorus multibranchus","DD"," "
"39174","Stolephorus nelsoni","DD"," "
"39175","Stolephorus pacificus","DD"," "
"39176","Stolephorus shantungensis","DD"," "
"39177","Stolephorus teguhi","DD"," "
"39178","Stolephorus tri","LC"," "
"39179","Stolephorus waitei","DD"," "
"39180","Thryssa adelae","DD"," "
"39181","Thryssa aestuaria","LC"," "
"39182","Thryssa brevicauda","LC"," "
"39183","Thryssa chefuensis","DD"," "
"39184","Thryssa encrasicholoides","DD"," "
"39185","Thryssa malabarica","DD"," "
"39186","Thryssa marasriae","LC"," "
"39187","Thryssa purava","DD"," "
"39188","Thryssa rastrosa","EN","B1ab(i,ii,iii,v)+2ab(i,ii,iii,v)"
"39189","Thryssa setirostris","LC"," "
"39190","Thryssa spinidens","DD"," "
"39191","Thryssa vitrirostris","LC"," "
"39192","Chirocentrus nudus","LC"," "
"39193","Ilisha filigera","DD"," "
"39194","Ilisha kampeni","LC"," "
"39195","Ilisha lunula","DD"," "
"39196","Ilisha macrogaster","DD"," "
"39197","Ilisha pristigastroides","DD"," "
"39198","Ilisha striatula","DD"," "
"39199","Opisthopterus valenciennesi","DD"," "
"39200","Sundasalanx platyrhynchus","DD"," "
"39201","Sprattus fuegensis","LC"," "
"39202","Sprattus sprattus","LC"," "
"39203","Pristigaster cayana","LC"," "
"39204","Pristigaster whiteheadi","LC"," "
"39205","Etrumeus golanii","DD"," "
"39206","Etrumeus acuminatus","LC"," "
"39207","Etrumeus makiawa","LC"," "
"39208","Etrumeus micropus","LC"," "
"39209","Etrumeus wongratanai","DD"," "
"39210","Thryssa dayi","DD"," "
"39211","Brycinus imberi","LC"," "
"39212","Amphilius natalensis","LC"," "
"39213","Microctenopoma intermedium","LC"," "
"39214","Sandelia bainsii","EN","B2ab(ii,iii,iv,v)"
"39215","Sandelia capensis","DD"," "
"39216","Austroglanis barnardi","EN","B1ab(ii,iii,v)+2ab(ii,iii,v)"
"39217","Austroglanis gilli","NT"," "
"39218","Austroglanis sclateri","LC"," "
"39219","Astatotilapia calliptera","LC"," "
"39220","Chetia brevis","EN","A4ace; B1ab(iii,v)+2ab(iii,v)"
"39221","Chetia flaviventris","LC"," "
"39222","Pseudocrenilabrus philander","LC"," "
"39223","Serranochromis meridianus","EN","A2ace; B1ab(ii,iii,v)+2ab(ii,iii,v)"
"39224","Serranochromis robustus","CR","A2c+3cde"
"39225","Clarias ngamensis","LC"," "
"39226","Clarias stappersii","LC"," "
"39227","Enteromius amatolicus","DD"," "
"39228","Pseudobarbus capensis","EN","B1ab(iii,iv,v)+2ab(iii,iv,v)"
"39229","Enteromius annectens","LC"," "
"39230","Enteromius anoplus","LC"," "
"39231","Enteromius brevipinnis","NT"," "
"39232","Pseudobarbus calidus","NT"," "
"39233","Enteromius crocodilensis","LC"," "
"39234","Pseudobarbus erubescens","CR","B1ab(i,ii,iii,v)"
"39235","Enteromius gurneyi","VU","A2ace"
"39236","Enteromius hospes","LC"," "
"39237","Enteromius macrotaenia","LC"," "
"39238","Enteromius motebensis","NT"," "
"39239","Enteromius rapax","LC"," "
"39240","Pseudobarbus serra","NT"," "
"39241","Enteromius treurensis","CR","B1ab(iii)"
"39242","Pseudobarbus trevelyani","EN","B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v)"
"39243","Labeo capensis","LC"," "
"39244","Labeo molybdinus","LC"," "
"39245","Labeo rosae","LC"," "
"39246","Labeo rubromaculatus","VU","B1ab(i,v)"
"39247","Labeo ruddi","DD"," "
"39248","Labeo seeberi","EN","B1ab(iii,v)+2ab(iii,v)"
"39249","Labeo umbratus","LC"," "
"39250","Labeobarbus aeneus","LC"," "
"39251","Labeobarbus seeberi","NT"," "
"39252","Labeobarbus kimberleyensis","NT"," "
"39253","Labeobarbus marequensis","LC"," "
"39254","Labeobarbus natalensis","LC"," "
"39255","Labeobarbus polylepis","LC"," "
"39256","Opsaridium peringueyi","LC"," "
"39257","Pseudobarbus asper","VU","B2ab(ii,iii,v)"
"39258","Pseudobarbus burchelli","CR","B1ab(i,ii,iii,v)c(ii,iii,iv)"
"39259","Pseudobarbus burgi","EN","B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v)"
"39260","Pseudobarbus quathlambae","EN","B2ab(ii,iii,v)"
"39261","Pseudobarbus tenuis","NT"," "
"39262","Labeobarbus nelspruitensis","NT"," "
"39263","Silhouettea sibayi","EN","B1ab(iii)+2ab(iii)"
"39264","Hippopotamyrus ansorgii","LC"," "
"39265","Kneria sp. nov. 'South Africa'","EN","B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v)"
"39266","Chiloglanis anoterus","LC"," "
"39267","Chiloglanis bifurcus","CR","A2ace"
"39268","Chiloglanis emarginatus","VU","B1ab(iii,iv)+2ab(iii,iv)"
"39269","Chiloglanis paratus","LC"," "
"39270","Chiloglanis pretoriae","LC"," "
"39271","Chiloglanis swierstrai","LC"," "
"39272","Mormyrops anguilloides","LC"," "
"39273","Mormyrus longirostris","LC"," "
"39274","Petrocephalus wesselsi","LC"," "
"39275","Micropanchax johnstoni","LC"," "
"39276","Micropanchax myaposae","NT"," "
"39277","Alphestes immaculatus","LC"," "
"39278","Alphestes multiguttatus","LC"," "
"39279","Cephalopholis aitha","LC"," "
"39280","Cephalopholis argus","LC"," "
"39281","Cephalopholis aurantia","LC"," "
"39282","Cephalopholis boenak","LC"," "
"39283","Cephalopholis cyanostigma","LC"," "
"39284","Cephalopholis formosa","LC"," "
"39285","Cephalopholis igarashiensis","LC"," "
"39286","Cephalopholis leopardus","LC"," "
"39287","Cephalopholis microprion","LC"," "
"39288","Cephalopholis miniata","LC"," "
"39289","Cephalopholis nigripinnis","LC"," "
"39290","Cephalopholis oligosticta","LC"," "
"39291","Cephalopholis panamensis","LC"," "
"39292","Cephalopholis polleni","LC"," "
"39293","Cephalopholis polyspila","LC"," "
"39294","Cephalopholis sexmaculata","LC"," "
"39295","Cephalopholis sonnerati","LC"," "
"39296","Cephalopholis spiloparaea","LC"," "
"39297","Cephalopholis urodeta","LC"," "
"39298","Cromileptes altivelis","DD"," "
"39299","Dermatolepis dermatolepis","LC"," "
"39300","Dermatolepis striolata","LC"," "
"39301","Epinephelus aeneus","NT"," "
"39302","Epinephelus akaara","EN","A2d"
"39303","Epinephelus albomarginatus","VU","A4bd"
"39304","Epinephelus amblycephalus","LC"," "
"39305","Epinephelus analogus","LC"," "
"39306","Epinephelus andersoni","NT"," "
"39307","Epinephelus awoara","DD"," "
"39308","Epinephelus bilobatus","LC"," "
"39309","Epinephelus bontoides","LC"," "
"39310","Plectropomus leopardus","LC"," "
"39311","Epinephelus caninus","DD"," "
"39312","Epinephelus chlorocephalus","DD"," "
"39313","Epinephelus chlorostigma","LC"," "
"39314","Epinephelus cifuentesi","LC"," "
"39315","Epinephelus clippertonensis","LC"," "
"39316","Epinephelus corallicola","LC"," "
"39317","Epinephelus costae","DD"," "
"39318","Epinephelus cyanopodus","LC"," "
"39319","Epinephelus daemelii","NT"," "
"39320","Epinephelus gabriellae","LC"," "
"39321","Epinephelus lanceolatus","DD"," "
"39322","Mycteroperca jordani","EN","A2bd"
"39323","Mycteroperca olfax","VU","A2bd"
"39324","Mycteroperca rosacea","LC"," "
"39325","Plectropomus areolatus","VU","A2bd"
"39326","Plectropomus laevis","LC"," "
"39327","Epinephelus marginatus","VU","A2bd+4bd"
"39328","Epinephelus fuscoguttatus","VU","A2bd+4bd"
"39329","Epinephelus socialis","LC"," "
"39330","Hyporthodus quernus","LC"," "
"39331","Plectropomus oligacanthus","LC"," "
"39332","Plectropomus pessuliferus","LC"," "
"39333","Epinephelus erythrurus","LC"," "
"39334","Epinephelus fasciatomaculosus","LC"," "
"39335","Epinephelus fasciatus","LC"," "
"39336","Epinephelus faveatus","LC"," "
"39337","Epinephelus flavocaeruleus","LC"," "
"39338","Epinephelus goreensis","NT"," "
"39339","Epinephelus heniochus","LC"," "
"39340","Epinephelus hexagonatus","LC"," "
"39341","Epinephelus howlandi","LC"," "
"39342","Epinephelus indistinctus","DD"," "
"39343","Epinephelus irroratus","LC"," "
"39344","Epinephelus labriformis","LC"," "
"39345","Epinephelus lebretonianus","DD"," "
"39346","Epinephelus longispinis","LC"," "
"39347","Epinephelus macrospilos","LC"," "
"39348","Epinephelus maculatus","LC"," "
"39349","Epinephelus magniscuttis","LC"," "
"39350","Epinephelus melanostigma","LC"," "
"39351","Epinephelus merra","LC"," "
"39352","Epinephelus miliaris","LC"," "
"39353","Epinephelus morrhua","LC"," "
"39354","Epinephelus ongus","LC"," "
"39355","Epinephelus poecilonotus","LC"," "
"39356","Epinephelus polyphekadion","VU","A2bd"
"39357","Epinephelus polystigma","LC"," "
"39358","Epinephelus posteli","DD"," "
"39359","Epinephelus quinquefasciatus","DD"," "
"39360","Epinephelus quoyanus","LC"," "
"39361","Epinephelus radiatus","LC"," "
"39362","Epinephelus retouti","LC"," "
"39363","Epinephelus rivulatus","LC"," "
"39364","Epinephelus sexfasciatus","LC"," "
"39365","Epinephelus spilotoceps","LC"," "
"39366","Epinephelus stictus","LC"," "
"39367","Epinephelus suborbitalis","DD"," "
"39368","Epinephelus summana","LC"," "
"39369","Epinephelus tauvina","DD"," "
"39370","Epinephelus timorensis","LC"," "
"39371","Epinephelus trimaculatus","LC"," "
"39372","Epinephelus trophis","DD"," "
"39373","Epinephelus tuamotuensis","LC"," "
"39374","Epinephelus tukula","LC"," "
"39375","Epinephelus undulatostriatus","LC"," "
"39376","Epinephelus undulosus","LC"," "
"39377","Gracila albomarginata","LC"," "
"39378","Hyporthodus acanthistius","VU","A2bd"
"39379","Hyporthodus darwinensis","DD"," "
"39380","Hyporthodus ergastularius","NT"," "
"39381","Hyporthodus exsul","LC"," "
"39382","Hyporthodus haifensis","LC"," "
"39383","Hyporthodus niphobles","LC"," "
"39384","Hyporthodus perplexus","DD"," "
"39385","Hyporthodus septemfasciatus","DD"," "
"39386","Mycteroperca prionura","DD"," "
"39387","Mycteroperca xenarcha","DD"," "
"39388","Paranthias colonus","LC"," "
"39389","Plectropomus maculatus","LC"," "
"39390","Plectropomus punctatus","LC"," "
"39391","Saloptia powelli","LC"," "
"39392","Triso dermopterus","LC"," "
"39393","Variola albimarginata","LC"," "
"39394","Variola louti","LC"," "
"39395","Epinephelus bruneus","VU","A2bd"
"39396","Hippocampus camelopardalis","DD"," "
"39397","Pangio filinaris","DD"," "
"39398","Alosa algeriensis","DD"," "
"39399","Anodontostoma selangkat","LC"," "
"39400","Anodontostoma thailandiae","LC"," "
"39401","Clupeichthys aesarnensis","LC"," "
"39402","Gonialosa modesta","DD"," "
"39403","Gonialosa whiteheadi","DD"," "
"39404","Gudusia variegata","LC"," "
"39405","Nematalosa galatheae","LC"," "
"39406","Sardinella rouxi","DD"," "
"39407","Spratelloides gracilis","LC"," "
"39408","Anchoa chamensis","DD"," "
"39409","Anchoviella balboae","DD"," "
"39410","Engraulis albidus","DD"," "
"39411","Stolephorus ronquilloi","DD"," "
"39412","Thryssa whiteheadi","LC"," "
"39413","Ilisha compressa","LC"," "
"39414","Ilisha fuerthii","LC"," "
"39415","Neoopisthopterus tropicus","LC"," "
"39416","Opisthopterus effulgens","DD"," "
"39417","Hippocampus dahli","LC"," "
"39418","Pegasus tetrabelos","DD"," "
"39419","Festucalex rufus","DD"," "
"39420","Encrasicholina pseudoheteroloba","LC"," "
"39421","Arnoglossus kessleri","DD"," "
"39422","Callionymus fasciatus","LC"," "
"39423","Callionymus pusillus","LC"," "
"39424","Gobius auratus","LC"," "
"39425","Gobius geniporus","LC"," "
"39426","Lebetus guilleti","LC"," "
"39427","Mugil trichodon","LC"," "
"39428","Nomeus gronovii","LC"," "
"39429","Acipenser oxyrinchus","NT"," "
"39430","Galaxias sp. nov. 'Breede'","EN","B1ab(ii,iii,v)+2ab(ii,iii,v)"
"39431","Galaxias sp. nov. 'Goukou'","VU","D2"
"39432","Galaxias sp. nov. 'Gourits'","VU","D2"
"39433","Galaxias sp. nov. 'Heuningnes'","EN","B1ab(iii,v)+2ab(iii,v)"
"39434","Galaxias sp. nov. 'Klein'","EN","B1ab(ii,iii,v)+2ab(ii,iii,v)"
"39435","Galaxias sp. nov. 'Riviersonderend'","VU","B1ab(ii,iii,v)+2ab(ii,iii,v)"
"39436","Galaxias sp. nov. 'slender'","CR","B1ab(iii)+2ab(iii)"
"39437","Galaxias sp. nov. 'Verlorenvlei'","EN","B1ab(ii,iii,v)+2ab(ii,iii,v)"
"39438","Marcusenius caudisquamatus","EN","B1ab(iii)+2ab(iii)"
"39439","Marcusenius krameri","LC"," "
"39440","Pseudobarbus afer","EN","B1ab(ii,iii,v)+2ab(ii,iii,v)"
"39441","Pseudobarbus phlegethon","EN","B1ab(ii,iii,iv,v)+2ab(ii,iii,iv,v)"
"39442","Marcusenius pongolensis","LC"," "
"39443","Marcusenius sp. nov. kosi","EN","B1ab(iii)+2ab(iii)"
"39444","Pseudobarbus senticeps","CR","B1ab(iii,v)"
"39445","Pseudobarbus swartzi","VU","B1ab(iii,v)+2ab(iii,v)"
"39446","Amphilius uranoscopus","LC"," "
"39447","Enteromius sp. nov. 'waterberg'","NT"," "
"39448","Pseudobarbus verloreni","EN","B1ab(ii,iii,v)+2ab(ii,iii,v)"
"39449","Haplochromis nigricans","DD"," "
"39450","Enteromius sp. nov. 'south africa'","NT"," "
"39451","Pseudobarbus sp. nov. 'keiskamma'","EN","B1ab(ii,iii,v)+2ab(ii,iii,v)"
"39452","Aulostomus strigosus","LC"," "
"39453","Syngnathus caspius","DD"," "
"39454","Syngnathus chihiroe","DD"," "
"39455","Hippocampus casscsio","DD"," "
"39456","Bathylychnops brachyrhynchus","DD"," "
"39457","Lutjanus quinquelineatus","LC"," "
"39458","Acanthosphex leurynnis","LC"," "
"39459","Cocotropus dermacanthus","LC"," "
"39460","Cocotropus roseomaculatus","DD"," "
"39461","Ptarmus jubatus","DD"," "
"39462","Bembras adenensis","DD"," "
"39463","Etrumeus jacksoniensis","LC"," "
"39464","Sardinella goni","DD"," "
"39465","Spratelloides atrofasciatus","LC"," "
"39466","Dactyloptena macracantha","LC"," "
"39467","Hoplichthys acanthopleurus","DD"," "
"39468","Liparis fishelsoni","DD"," "
"39469","Psednos micrurus","DD"," "
"39470","Parabembras robinsoni","DD"," "
"39471","Peristedion weberi","LC"," "
"39472","Satyrichthys laticeps","LC"," "
"39473","Cociella heemstrai","LC"," "
"39474","Onigocia grandisquama","LC"," "
"39475","Papilloculiceps longiceps","LC"," "
"39476","Rogadius fehlmanni","DD"," "
"39477","Sorsogona humerosa","DD"," "
"39478","Sorsogona portuguesa","DD"," "
"39479","Suggrundus cooperi","DD"," "
"39480","Suggrundus macracanthus","LC"," "
"39481","Sunagocia carbunculus","LC"," "
"39482","Thysanophrys randalli","DD"," "
"39483","Thysanophrys rarita","DD"," "
"39484","Thysanophrys springeri","LC"," "
"39485","Thysanophrys tricaudata","DD"," "
"39486","Festucalex armillatus","DD"," "
"39487","Cocotropus monacanthus","DD"," "
"39488","Scalicus investigatoris","LC"," "
"39489","Pterygotrigla macrorhynchus","LC"," "
"39490","Pterygotrigla guezei","LC"," "
"39491","Pterygotrigla arabica","LC"," "
"39492","Pterygotrigla amaokai","DD"," "
"39493","Lepidotrigla spiloptera","LC"," "
"39494","Lepidotrigla multispinosa","LC"," "
"39495","Lepidotrigla longipinnis","DD"," "
"39496","Lepidotrigla bentuviai","DD"," "
"39497","Ebosia falcata","LC"," "
"39498","Neoscorpaena nielseni","DD"," "
"39499","Parapterois heterura","LC"," "
"39500","Anisotremus moricandi","LC"," "
"39501","Dunckerocampus dactyliophorus","DD"," "
"39502","Eurypegasus papilio","LC"," "
"39503","Oxyurichthys keiensis","LC"," "
"39504","Pegasus lancifer","LC"," "
"39505","Pegasus volitans","DD"," "
"39506","Priolepis robinsi","LC"," "
"39507","Acentronura australe","DD"," "
"39508","Paracaesio caerulea","DD"," "
"39509","Synaphobranchus affinis","LC"," "
"39510","Pentaceros decacanthus","LC"," "
"39511","Laeops guentheri","LC"," "
"39512","Diaphus diadematus","LC"," "
"39513","Lepidotrigla omanensis","LC"," "
"39514","Protomyctophum luciferum","LC"," "
"39515","Peprilus paru","LC"," "
"39516","Malacocephalus luzonensis","DD"," "
"39517","Lestidiops ringens","LC"," "
"39518","Hemerocoetes monopterygius","LC"," "
"39519","Myctophum lychnobium","LC"," "
"39520","Genidens genidens","LC"," "
"39521","Leptocephalus ophichthoides","DD"," "
"39522","Lophius gastrophysus","LC"," "
"39523","Gymnelus barsukovi","DD"," "
"39524","Enigmapercis acutirostris","DD"," "
"39525","Pogonophryne barsukovi","LC"," "
"39526","Paraliparis kreffti","DD"," "
"39527","Hadropareia middendorffii","LC"," "
"39528","Plectranthias bilaticlavia","LC"," "
"39529","Myoxocephalus tuberculatus","DD"," "
"39530","Genyagnus monopterygius","LC"," "
"39531","Oplegnathus woodwardi","DD"," "
"39532","Stellifer fuerthii","LC"," "
"39533","Oneirodes acanthias","LC"," "
"39534","Eustomias posti","LC"," "
"39535","Stemonosudis bullisi","DD"," "
"39536","Linophryne lucifer","LC"," "
"39537","Parupeneus multifasciatus","LC"," "
"39538","Solocisquama carinata","DD"," "
"39539","Lampanyctus jordani","LC"," "
"39540","Paraliparis tompkinsae","DD"," "
"39541","Oplegnathus insignis","DD"," "
"39542","Pristipomoides freemani","LC"," "
"39543","Skythrenchelys zabra","LC"," "
"39544","Stegastes fuscus","LC"," "
"39545","Sebastes nivosus","DD"," "
"39546","Dicrolene nigra","LC"," "
"39547","Kraemeria tongaensis","LC"," "
"39548","Synchiropus claudiae","LC"," "
"39549","Schindleria brevipinguis","LC"," "
"39550","Neomerinthe hemingwayi","LC"," "
"39551","Luzonichthys earlei","LC"," "
"39552","Grammonus robustus","LC"," "
"39553","Lophodolos indicus","LC"," "
"39554","Mugilogobius fasciatus","DD"," "
"39555","Coryphaenoides nasutus","LC"," "
"39556","Siganus magnificus","LC"," "
"39557","Johnius laevis","DD"," "
"39558","Lethrinus enigmaticus","LC"," "
"39559","Polydactylus multiradiatus","LC"," "
"39560","Hetereleotris vulgaris","LC"," "
"39561","Paramonacanthus matsuurai","DD"," "
"39562","Erotelis armiger","DD"," "
"39563","Eustomias vulgaris","LC"," "
"39564","Paxton concilians","DD"," "
"39565","Parma victoriae","LC"," "
"39566","Sufflamen fraenatum","LC"," "
"39567","Myripristis clarionensis","VU","D2"
"39568","Polyipnus clarus","LC"," "
"39569","Luzonichthys williamsi","LC"," "
"39570","Stegastes gascoynei","LC"," "
"39571","Dermatopsoides talboti","LC"," "
"39572","Sebastes koreanus","DD"," "
"39573","Minous quincarinatus","LC"," "
"39574","Girella simplicidens","LC"," "
"39575","Kestratherina brevirostris","LC"," "
"39576","Leptostomias bermudensis","LC"," "
"39577","Maurolicus breviculus","LC"," "
"39578","Lophius vomerinus","NT"," "
"39579","Petrotyx sanguineus","LC"," "
"39580","Sagamichthys abei","LC"," "
"39581","Mataeocephalus tenuicauda","LC"," "
"39582","Genyonemus lineatus","NT"," "
"39583","Scorpaenopsis altirostris","LC"," "
"39584","Zenarchopterus pappenheimi","DD"," "
"39585","Opistognathus maxillosus","LC"," "
"39586","Membras martinica","LC"," "
"39587","Iluocoetes elongatus","LC"," "
"39588","Pariah scotius","LC"," "
"39589","Synchiropus grandoculis","LC"," "
"39590","Ocosia possi","LC"," "
"39591","Nematalosa nasus","LC"," "
"39592","Ebinania brephocephala","DD"," "
"39593","Ophidion fulvum","NT"," "
"39594","Paraliparis megalopus","DD"," "
"39595","Paratrachichthys fernandezianus","LC"," "
"39596","Coryphaenoides ariommus","LC"," "
"39597","Cynoscion praedatorius","DD"," "
"39598","Cryptocentrus leonis","DD"," "
"39599","Neobythites franzi","DD"," "
"39600","Krefftichthys anderssoni","LC"," "
"39601","Halieutopsis tumifrons","DD"," "
"39602","Jenkinsia lamprotaenia","LC"," "
"39603","Oneirodes schmidti","LC"," "
"39604","Poecilopsetta albomaculata","DD"," "
"39605","Serranus tigrinus","LC"," "
"39606","Secutor hanedai","LC"," "
"39607","Sciades couma","LC"," "
"39608","Sicyases hildebrandi","LC"," "
"39609","Zalieutes mcgintyi","LC"," "
"39610","Racovitzia glacialis","LC"," "
"39611","Sardinella fijiense","LC"," "
"39612","Sebastes mentella","LC"," "
"39613","Hoplolatilus fourmanoiri","LC"," "
"39614","Pterotolithus maculatus","LC"," "
"39615","Silhouettea aegyptia","LC"," "
"39616","Laeops cypho","DD"," "
"39617","Inimicus caledonicus","LC"," "
"39618","Pyramodon lindas","LC"," "
"39619","Schindleria praematura","LC"," "
"39620","Lepidion eques","DD"," "
"39621","Rimicola sila","LC"," "
"39622","Platybelone argalus","LC"," "
"39623","Lyopsetta exilis","LC"," "
"39624","Gnatholepis cauerensis","LC"," "
"39625","Myripristis pralinia","LC"," "
"39626","Zanclorhynchus spinifer","LC"," "
"39627","Hephthocara simum","DD"," "
"39628","Silhouettea nuchipunctatus","DD"," "
"39629","Zesticelus bathybius","DD"," "
"39630","Lampadena pontifex","LC"," "
"39631","Facciolella karreri","LC"," "
"39632","Istigobius rigilius","LC"," "
"39633","Scartelaos cantoris","DD"," "
"39634","Parioglossus taeniatus","LC"," "
"39635","Sciaena callaensis","CR","B1ab(iii)"
"39636","Monomitopus agassizii","LC"," "
"39637","Pholis ornata","LC"," "
