"","Scientific.name_TBN","Scientific.name_PSL","Chinese.common.name_PSL","prtected_status","Version","tp_tid","taibnet_namecode","uuid","protect.species.list.number","rank","X","X.1","X.2"
"103","Ara ararauna","Ara ararauna","藍黃金剛鸚鵡","II","v1080109",417958,417958,"965f9a14-efab-470e-9e42-d035638c8daf",531,"species",NA,NA,NA
"104","Psittacus erithacus","Psittacus erithacus","灰鸚鵡","I","v1080109",417808,417808,"c24cf121-0cdd-460a-94db-95ce58023e8a",561,"species",NA,NA,NA
"105","Asio flammeus","Asio flammeus","短耳鴞","II","v1080109",1023655,NA,"e950df7d-5c0b-44cd-acd0-62e177f1aed1",568,"species",NA,NA,NA
"106","Asio otus","Asio otus","長耳鴞","II","v1080109",1023656,NA,"04ea905b-a40d-4e91-a7b7-3f7511129623",569,"species",NA,NA,NA
"107","Glaucidium brodiei","Glaucidium brodiei","鵂鶹","II","v1080109",1024414,NA,"71395c68-21ca-4ee6-9ebd-f696c9ebd842",570,"species",NA,NA,NA
"108","Ketupa flavipes","Ketupa flavipes","黃魚鴞","II","v1080109",380500,380500,"5f971330-67d7-4261-b0bc-08e2b3dc158f",572,"species",NA,NA,NA
"109","Ninox japonica","Ninox japonica","褐鷹鴞","II","v1080109",1024923,NA,"8f515304-fd5c-4841-b05f-8caab8268021",574,"species",NA,NA,NA
"110","Otus lettia","Otus lettia","領角鴞","II","v1080109",1025028,NA,"49860672-4a66-4331-9640-5fe4734651ab",577,"species",NA,NA,NA
"111","Otus spilocephalus","Otus spilocephalus","黃嘴角鴞","II","v1080109",1025029,NA,"9add3bef-0871-4552-bd18-7f6a254ad07d",578,"species",NA,NA,NA
"112","Otus sunia","Otus sunia","東方角鴞","II","v1080109",1025030,NA,"c1927c41-b4d2-4726-8614-e3f34a3dee51",579,"species",NA,NA,NA
"113","Strix leptogrammica","Strix leptogrammica","褐林鴞","II","v1080109",1025563,NA,"b7b91dca-368e-4e07-9f87-f5ee35ca2dbe",580,"species",NA,NA,NA
"114","Strix nivicolum","Strix nivicolum","東方灰林鴞(灰林鴞)","II","v1080109",1025564,NA,"a945b668-8e84-4a1f-af0e-d5c52adc515d",581,"species",NA,NA,NA
"115","Tyto longimembris","Tyto longimembris","草鴞","I","v1080109",1025744,NA,"a4ecadb1-8691-4853-9bcd-e136cabb6250",582,"species",NA,NA,NA
"116","Japalura luei","Japalura luei","呂氏攀蜥","II","v1080109",380622,380622,"b4a0f603-12e1-4f0e-8560-450ed055fa09",604,"species",NA,NA,NA
"117","Japalura makii","Japalura makii","牧氏攀蜥","II","v1080109",380623,380623,"56fd8f78-9bf8-4197-8453-a2db4b817962",605,"species",NA,NA,NA
"118","Dopasia harti","Dopasia harti","哈特氏蛇蜥(蛇蜥、臺灣蛇蜥)","II","v1080109",380627,380627,"6b3d895e-4eb2-45d2-b88d-a2d2342c8c6e",606,"species",NA,NA,NA
"119","Gekko kikuchii","Gekko kikuchii","菊池氏壁虎(蘭嶼守宮、菊池氏蚧蛤)","II","v1080109",380667,380667,"b918cdac-a9ef-4f60-b396-d3cad83ef45c",624,"species",NA,NA,NA
"120","Lepidodactylus yami","Lepidodactylus yami","雅美鱗趾虎(雅美鱗趾蝎虎)","II","v1080109",380674,380674,"6b9bc28a-2fce-4322-83bf-1020c36030a0",625,"species",NA,NA,NA
"121","Takydromus sauteri","Takydromus sauteri","梭德氏草蜥(南臺草蜥)","III","v1080109",380686,380686,"dfcd02f0-bb59-43e0-b035-f72509ec1822",648,"species",NA,NA,NA
"122","Amphiesma miyajimae","Amphiesma miyajimae","金絲蛇","I","v1080109",380630,380630,"00f89f81-f5dd-4593-b9cf-2fd5bd429694",669,"species",NA,NA,NA
"123","Euprepiophis mandarinus","Euprepiophis mandarinus","高砂蛇","III","v1080109",427266,427266,"dcdffc54-2f92-48ec-9543-c7f59f53d73f",674,"species",NA,NA,NA
"124","Myrrophis chinensis","Myrrophis chinensis","唐水蛇","II ","v1080109",380642,380642,"acffe805-822f-4fce-bfd8-fdd8bd096319",675,"species",NA,NA,NA
"125","Rhabdophis swinhonis","Rhabdophis swinhonis","斯文豪氏游蛇","III","v1080109",380654,380654,"4b1343f3-89a6-484f-bad3-76956a3776de",677,"species",NA,NA,NA
"126","Sinonatrix annularis","Sinonatrix annularis","赤腹游蛇","II","v1080109",380657,380657,"1638a432-d2fd-473f-bac2-5c1fe2a70c20",678,"species",NA,NA,NA
"127","Xenochrophis piscator","Xenochrophis piscator","草花蛇","III","v1080109",380659,380659,"b065f5f5-3bee-482b-9f1a-6015fcac5b19",679,"species",NA,NA,NA
"128","Sinomicrurus hatori","Sinomicrurus hatori","羽鳥氏帶紋赤蛇","II","v1080109",421733,421733,"40357714-5163-42fb-a0b0-fae001cf30d4",692,"species",NA,NA,NA
"129","Sinomicrurus macclellandi","Sinomicrurus macclellandi","環紋赤蛇","III","v1080109",1025481,NA,"6cd76c8f-05b6-497d-bbf4-505334c1beac",693,"species",NA,NA,NA
"130","Sinomicrurus sauteri","Sinomicrurus sauteri","梭德氏帶紋赤蛇(帶紋赤蛇)","II","v1080109",421735,421735,"fa0528e2-44f5-442e-93ec-782a6bdc6eca",694,"species",NA,NA,NA
"131","Python reticulatus","Python reticulatus","網紋蟒","II","v1080109",418194,418194,"d4a4a2b6-f048-4c30-8c44-1988a7134784",696,"species",NA,NA,NA
"132","Daboia siamensis","Daboia siamensis","鎖蛇","II","v1080109",427241,427241,"a26247d3-879c-4272-a5c8-504f54654f50",700,"species",NA,NA,NA
"133","Deinagkistrodon acutus","Deinagkistrodon acutus","百步蛇","II","v1080109",380702,380702,"1e885a7c-5dfd-46f1-a141-658c4d403dbd",701,"species",NA,NA,NA
"134","Ovophis monticola","Ovophis monticola","瑪家山龜殼花(阿里山龜殼花)","II","v1080109",1025036,NA,"37f0c327-4e6e-4dea-ba9f-61e3ea1da59e",702,"species",NA,NA,NA
"135","Trimeresurus gracilis","Trimeresurus gracilis","菊池氏龜殼花","III","v1080109",380704,380704,"4cd602c8-af4c-4e47-b2af-f85e5c48218f",704,"species",NA,NA,NA
"136","Cuora flavomarginata","Cuora flavomarginata","食蛇龜","I","v1080109",380611,380611,"6e4ebaf6-7bcc-4962-9b76-6c03cca192f6",720,"species",NA,NA,NA
