"auto_id" "taxon_name" "name_c" "category" "version" "criteria" "adjusting" "taxon_group" "name_code"
183 "Aegithalos concinnus" "紅頭山雀" "NLC" "v1080131" "A; D" NA "bird" "380307"
184 "Spizixos semitorques cinereicapillus" "白環鸚嘴鵯" "NLC" "v1080131" "A; D" NA "bird" "380441"
185 "Pycnonotus sinensis formosae" "白頭翁" "NLC" "v1080131" "A; D" NA "bird" "380439"
186 "Hypsipetes leucocephalus nigerrimus" "紅嘴黑鵯" "NLC" "v1080131" "A; D" NA "bird" "380437"
187 "Pnoepyga formosana" "台灣鷦眉" "NLC" "v1080131" "A; D" NA "bird" "419692"
188 "Abroscopus albogularis" "棕面鶯" "NLC" "v1080131" "A; D" NA "bird" "380452"
189 "Cettia fortipes robustipes" "小鶯" "NLC" "v1080131" "A; D" NA "bird" "428582"
190 "Cisticola juncidis" "棕扇尾鶯" "NLC" "v1080131" "A; D" NA "bird" "380313"
191 "Cisticola exilis volitans" "黃頭扇尾鶯" "NLC" "v1080131" "A; D" NA "bird" "380312"
192 "Prinia flaviventris" "灰頭鷦鶯" "NLC" "v1080131" "A; D" NA "bird" "380315"
193 "Prinia inornata flavirostris" "褐頭鷦鶯" "NLC" "v1080131" "A; D" NA "bird" "380316"
194 "Yuhina brunneiceps" "冠羽畫眉" "NLC" "v1080131" "A; D" NA "bird" "380486"
195 "Zosterops japonicus" "綠繡眼" "NLC" "v1080131" "A; D" NA "bird" "380488"
196 "Stachyris ruficeps praecognita" "山紅頭" "NLC" "v1080131" "A; D" NA "bird" "428592"
197 "Pomatorhinus ruficollis" "小彎嘴" "NLC" "v1080131" "A; D" NA "bird" "419691"
198 "Pomatorhinus erythrogenys" "大彎嘴" "NLC" "v1080131" "A; D" NA "bird" "428593"
199 "Alcippe brunnea brunneaus" "頭烏線" "NLC" "v1080131" "A; D" NA "bird" "428594"
200 "Alcippe morrisonia morrisonia" "繡眼畫眉" "NLC" "v1080131" "A; D" NA "bird" "421140"
201 "Garrulax poecilorhynchus" "棕噪眉" "NLC" "v1080131" "A; D" NA "bird" "428597"
202 "Heterophasia auricularis" "白耳畫眉" "NLC" "v1080131" "A; D" NA "bird" "380467"
203 "Liocichla steerii" "黃胸藪眉" "NLC" "v1080131" "A; D" NA "bird" "380468"
204 "Actinodura morrisoniana" "紋翼畫眉" "NLC" "v1080131" "A; D" NA "bird" "380455"
205 "Myophonus insularis" "台灣紫嘯鶇" "NLC" "v1080131" "A; D" NA "bird" "404613"
206 "Cinclidium leucurum montium" "白尾鴝" "NLC" "v1080131" "A; D" NA "bird" "419688"
207 "Dicaeum concolor uchidai" "綠啄花" "NLC" "v1080131" "A; D" NA "bird" "425199"
208 "Pyrrhula nipalensis uchidae" "褐鷽" "NLC" "v1080131" "A; D" NA "bird" "420223"
209 "Mareca penelope" "赤頸鴨" "NLC" "v1080131" "B" NA "bird" "380064"
210 "Anas acuta" "尖尾鴨" "NLC" "v1080131" "B" NA "bird" "380057"
212 "Eophona migratoria" "小桑鳲" "NLC" "v1080131" "B" NA "bird" "380355"
213 "Anas zonorhyncha" "花嘴鴨" "NLC" "v1080131" "B; D" NA "bird" "419618"
214 "Spatula clypeata" "琵嘴鴨" "NLC" "v1080131" "B; D" NA "bird" "380059"
215 "Lophura swinhoii" "藍腹鷴" "NLC" "v1080131" "B; D" NA "bird" "380289"
216 "Syrmaticus mikado" "黑長尾雉" "NLC" "v1080131" "B; D" NA "bird" "380291"
217 "Gorsachius melanolophus" "黑冠麻鷺" "NLC" "v1080131" "B; D" NA "bird" "380133"
218 "Accipiter trivirgatus formosae" "鳳頭蒼鷹" "NLC" "v1080131" "B; D" NA "bird" "380100"
219 "Rostratula benghalensis" "彩鷸" "NLC" "v1080131" "B; D" NA "bird" "420867"
220 "Paradoxornis verreauxi morrisoniana" "黃羽鸚嘴" "NLC" "v1080131" "B; D" NA "bird" "428590"
221 "Tarsiger indicus formosanus" "白眉林鴝" "NLC" "v1080131" "B; D" NA "bird" "419683"
222 "Ficedula hyperythra innexa" "黃胸青鶲" "NLC" "v1080131" "B; D" NA "bird" "380378"
223 "Carduelis sinica" "金翅雀" "NLC" "v1080131" "B; D" NA "bird" "425191"
224 "Lalage melaschistos" "黑翅山椒鳥" "NLC" "v1080131" "C" NA "bird" "427289"
225 "Urosphena squameiceps" "短尾鶯" "NLC" "v1080131" "C" NA "bird" "421043"
226 "Cettia diphone" "日本樹鶯" "NLC" "v1080131" "C" NA "bird" "404562"
227 "Ficedula narcissina" "黃眉黃鶲" "NLC" "v1080131" "C" NA "bird" "380380"
228 "Ficedula mugimaki" "白眉黃鶲" "NLC" "v1080131" "C" NA "bird" "380379"
229 "Bulweria bulwerii" "穴鳥" "NLC" "v1080131" "C; D" NA "bird" "380199"
230 "Xenus cinereus" "反嘴鷸" "NLC" "v1080131" "C; D" NA "bird" "404673"
231 "Larus ridibundus" "紅嘴鷗" "NLC" "v1080131" "C; D" NA "bird" "419699"
232 "Hydroprogne caspia" "裏海燕鷗" "NLC" "v1080131" "C; D" NA "bird" "427071"
233 "Chlidonias leucopterus" "白翅黑燕鷗" "NLC" "v1080131" "C; D" NA "bird" "380167"
