"auto_id" "taxon_name" "name_c" "redlist_taxon_rank" "category" "version" "criteria" "adjusting" "taxon_group" "name_code" "TBN_scientific_name" "Different_scientific_name" "TBN_taxon_rank" "tp_tid" "ra_tid" "uuid"
70 "Calidris alpina actites" "黑腹濱鷸(庫頁島亞種)" "infraspecies" "NVU" "v1080131" "A2a" "[-1]" "bird" NA "Calidris alpina" NA "infraspecies" 432234 432234 "31489785-e1f8-416c-b065-c4fe655db2e6"
70 "Calidris alpina arcticola" "黑腹濱鷸(美洲亞種)" "infraspecies" "NVU" "v1080131" "A2a" "[-1]" "bird" NA "Calidris alpina" NA "infraspecies" 432235 432235 "1ea9b5d3-e569-4790-8637-a7a0c99521a5"
70 "Calidris alpina" "黑腹濱鷸" "species" "NVU" "v1080131" "A2a" "[-1]" "bird" "432232" "Calidris alpina" NA "species" 1023789 1023789 "e882d691-d35b-4496-864a-c4aaf861d498"
71 "Macropygia tenuirostris" "長尾鳩" "species" "NVU" "v1080131" "D" NA "bird" "432244" "Macropygia tenuirostris" NA "species" 1024716 1024716 "43ae38ec-0091-45b8-ab7d-a10d1d3cd430"
72 "Treron formosae formosae" "紅頭綠鳩" "infraspecies" "NVU" "v1080131" "D" NA "bird" "380270" "Treron formosae formosae" NA "infraspecies" 380270 380270 "c9b146ef-9d2a-4a39-979e-43559a0d7c29"
73 "Glaucidium brodiei pardalotum" "鵂鶹" "infraspecies" "NVU" "v1080131" "C1" NA "bird" "380499" "Glaucidium brodiei pardalotum" NA "infraspecies" 380499 380499 "863ed427-99f8-4381-b58c-d4e835c1df07"
74 "Strix leptogrammica" "褐林鴞" "species" "NVU" "v1080131" "D" NA "bird" "380507" "Strix leptogrammica" NA "species" 1025563 1025563 "b7b91dca-368e-4e07-9f87-f5ee35ca2dbe"
75 "Ceryle rudis" "斑翡翠" "species" "NVU" "v1080131" "C1;D" "[-2]" "bird" "432253" "Ceryle rudis" NA "species" 1023910 1023910 "6cb7ef0f-2ef4-4cf6-b955-47778c9ee8fd"
76 "Picus canus" "綠啄木" "species" "NVU" "v1080131" "D" NA "bird" "380494" "Picus canus" NA "species" 1025227 1025227 "138e3018-2c45-45d9-8cd4-99dd636d6f74"
77 "Coracina macei" "花翅山椒鳥" "species" "NVU" "v1080131" "D" NA "bird" "380317" "Coracina macei" NA "species" 1024015 1024015 "a0f13f22-2ae9-4d61-aede-8b6862fcf869"
78 "Lanius schach" "棕背伯勞" "species" "NVU" "v1080131" "C1" NA "bird" "432267" "Lanius schach" NA "species" 1024599 1024599 "aaa14dcf-9cee-449b-890b-1e39a1f6371f"
79 "Oriolus chinensis diffusus" "黃鸝" "infraspecies" "NVU" "v1080131" "D" NA "bird" "380330" "Oriolus chinensis" NA "infraspecies" 380330 380330 "96648456-b936-4603-a826-b9290f627dba"
79 "Oriolus chinensis maculatus" "黃鸝(外來亞種)" "infraspecies" "NVU" "v1080131" "D" NA "bird" "425219" "Oriolus chinensis" NA "infraspecies" 425219 425219 "58c022b9-5598-44ca-93c5-514bbf212e49"
